Tue Jul  1 11:53:13 2014    timing.2

         1539768 function calls (1503430 primitive calls) in 51.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.152    0.152   51.474   51.474 app.py:1(<module>)
      587    4.087    0.007   42.376    0.072 app.py:33(waitForResponse)
    54103    1.230    0.000   27.322    0.001 /home/pi/PyNDN2/python/pyndn/face.py:301(processEvents)
    54103    4.270    0.000   26.093    0.000 /home/pi/PyNDN2/python/pyndn/node.py:202(processEvents)
    54103    2.404    0.000   18.978    0.000 /home/pi/PyNDN2/python/pyndn/transport/unix_transport.py:102(processEvents)
      586    0.305    0.001   12.376    0.021 /home/pi/PyNDN2/python/pyndn/encoding/element_reader.py:48(onReceivedData)
      586    0.235    0.000   11.291    0.019 /home/pi/PyNDN2/python/pyndn/node.py:254(onReceivedElement)
      587    0.076    0.000    6.464    0.011 /home/pi/PyNDN2/python/pyndn/face.py:84(expressInterest)
      587    0.248    0.000    5.929    0.010 app.py:12(createCommandInterest)
      586    0.115    0.000    5.731    0.010 /home/pi/PyNDN2/python/pyndn/data.py:86(wireDecode)
      587    0.134    0.000    5.556    0.009 /home/pi/PyNDN2/python/pyndn/node.py:65(expressInterest)
      586    0.237    0.000    5.127    0.009 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:183(decodeData)
      587    0.056    0.000    4.344    0.007 /home/pi/PyNDN2/python/pyndn/interest.py:225(wireEncode)
      587    0.361    0.001    4.119    0.007 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:46(encodeInterest)
   111136    2.220    0.000    3.390    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:395(_get)
    54689    2.190    0.000    3.323    0.000 /home/pi/PyNDN2/python/pyndn/transport/socket_poller.py:55(isReady)
      586    0.069    0.000    2.286    0.004 /home/pi/PyNDN2/python/pyndn/node.py:299(_extractEntriesForExpressedInterest)
      587    0.091    0.000    2.222    0.004 /home/pi/PyNDN2/python/pyndn/encoding/protobuf_tlv.py:40(encode)
      586    0.061    0.000    2.191    0.004 /home/pi/PyNDN2/python/pyndn/interest.py:302(matchesName)
    16432    1.686    0.000    2.154    0.000 /home/pi/PyNDN2/python/pyndn/util/blob.py:47(__init__)
      586    0.134    0.000    2.078    0.004 /home/pi/PyNDN2/python/pyndn/name.py:485(match)
170336/147253    1.534    0.000    1.938    0.000 {len}
      586    0.221    0.000    1.904    0.003 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:418(_decodeName)
     1758    0.864    0.000    1.899    0.001 /home/pi/PyNDN2/python/pyndn/util/blob.py:191(equals)
     5287    0.219    0.000    1.818    0.000 /home/pi/PyNDN2/python/pyndn/name.py:38(__init__)
    59251    1.511    0.000    1.787    0.000 /home/pi/PyNDN2/python/pyndn/util/blob.py:299(__getitem__)
      586    0.052    0.000    1.781    0.003 /usr/local/lib/python2.7/dist-packages/mock.py:951(__call__)
      586    0.320    0.001    1.725    0.003 /usr/local/lib/python2.7/dist-packages/mock.py:958(_mock_call)
 2348/587    0.525    0.000    1.634    0.003 /home/pi/PyNDN2/python/pyndn/encoding/protobuf_tlv.py:74(_encodeMessageValue)
      590    0.181    0.000    1.544    0.003 /home/pi/PyNDN2/python/pyndn/name.py:257(set)
    54690    1.143    0.000    1.517    0.000 /home/pi/PyNDN2/python/pyndn/util/common.py:54(getNowMilliseconds)
     1175    0.372    0.000    1.469    0.001 /home/pi/PyNDN2/python/pyndn/interest.py:33(__init__)
     6446    0.291    0.000    1.461    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:90(readTypeAndLength)
        1    0.024    0.024    1.430    1.430 /usr/lib/pymodules/python2.7/numpy/__init__.py:106(<module>)
      587    0.225    0.000    1.425    0.002 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:380(_encodeName)
      586    0.130    0.000    1.416    0.002 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:607(_decodeSignatureInfo)
   115698    1.283    0.000    1.369    0.000 {getattr}
     8805    0.276    0.000    1.221    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:91(writeTypeAndLength)
    54689    1.133    0.000    1.133    0.000 {built-in method poll}
