Tue Jul  1 18:35:42 2014    timing.4

         2309495 function calls (2251965 primitive calls) in 91.244 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007   91.244   91.244 fixture.py:1(<module>)
        1    3.337    3.337   90.213   90.213 fixture.py:37(start)
   126389    3.150    0.000   85.937    0.001 /home/pi/ndn/PyNDN2/python/pyndn/face.py:301(processEvents)
   126389    7.414    0.000   82.787    0.001 /home/pi/ndn/PyNDN2/python/pyndn/node.py:202(processEvents)
   126389    5.651    0.000   70.974    0.001 /home/pi/ndn/PyNDN2/python/pyndn/transport/unix_transport.py:102(processEvents)
      955    0.556    0.001   50.641    0.053 /home/pi/ndn/PyNDN2/python/pyndn/encoding/element_reader.py:48(onReceivedData)
      955    0.524    0.001   48.672    0.051 /home/pi/ndn/PyNDN2/python/pyndn/node.py:254(onReceivedElement)
      954    1.050    0.001   36.028    0.038 fixture.py:65(onLightingCommand)
   127343    5.135    0.000   12.494    0.000 /home/pi/ndn/PyNDN2/python/pyndn/transport/socket_poller.py:55(isReady)
      954    0.058    0.000    9.005    0.009 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:244(wireDecode)
      954    0.419    0.000    8.925    0.009 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:111(decodeInterest)
     1908    0.195    0.000    8.881    0.005 /usr/lib/python2.7/logging/__init__.py:1138(info)
      953    0.233    0.000    8.699    0.009 /home/pi/ndn/PyNDN2/python/pyndn/data.py:54(wireEncode)
     1908    0.193    0.000    8.570    0.004 /usr/lib/python2.7/logging/__init__.py:1248(_log)
   127343    7.359    0.000    7.359    0.000 {built-in method poll}
      953    0.488    0.001    6.851    0.007 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:147(encodeData)
     1908    0.133    0.000    6.319    0.003 /usr/lib/python2.7/logging/__init__.py:1269(handle)
     1908    0.295    0.000    6.132    0.003 /usr/lib/python2.7/logging/__init__.py:1301(callHandlers)
      954    0.148    0.000    6.127    0.006 /home/pi/ndn/PyNDN2/python/pyndn/encoding/protobuf_tlv.py:58(decode)
     3816    0.326    0.000    5.837    0.002 /usr/lib/python2.7/logging/__init__.py:735(handle)
 3816/954    0.800    0.000    5.498    0.006 /home/pi/ndn/PyNDN2/python/pyndn/encoding/protobuf_tlv.py:117(_decodeMessageValue)
    14334    0.870    0.000    4.371    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:90(readTypeAndLength)
     3816    0.223    0.000    4.142    0.001 /usr/lib/python2.7/logging/__init__.py:929(emit)
     3816    0.413    0.000    3.919    0.001 /usr/lib/python2.7/logging/__init__.py:838(emit)
    39165    2.091    0.000    3.779    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:41(readVarNumber)
270381/229185    2.650    0.000    3.651    0.000 {len}
   126391    2.795    0.000    3.621    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/common.py:54(getNowMilliseconds)
    80204    3.155    0.000    3.598    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:299(__getitem__)
      956    0.474    0.000    3.576    0.004 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:418(_decodeName)
    22963    2.192    0.000    3.046    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:47(__init__)
      957    0.450    0.000    2.837    0.003 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:380(_encodeName)
      954    0.050    0.000    2.582    0.003 fixture.py:98(sendLightPayload)
      954    2.363    0.002    2.532    0.003 lighting/KinetSender.py:81(setPayload)
      954    0.441    0.000    2.361    0.002 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:479(_decodeSelectors)
     4792    0.352    0.000    2.342    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:182(writeBlobTlv)
      954    0.087    0.000    2.236    0.002 /home/pi/ndn/PyNDN2/python/pyndn/transport/unix_transport.py:84(send)
     5731    0.204    0.000    2.233    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:113(readNestedTlvsStart)
      958    0.053    0.000    2.156    0.002 /usr/lib/python2.7/socket.py:223(meth)
    10525    0.421    0.000    2.098    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:91(writeTypeAndLength)
      954    2.086    0.002    2.086    0.002 {method 'sendall' of '_socket.socket' objects}
   126390    1.902    0.000    1.902    0.000 /home/pi/ndn/PyNDN2/python/pyndn/transport/unix_transport.py:131(getIsConnected)
     1908    0.119    0.000    1.739    0.001 /usr/lib/python2.7/logging/__init__.py:1235(makeRecord)
      954    0.128    0.000    1.738    0.002 /home/pi/ndn/PyNDN2/python/pyndn/node.py:323(_getEntryForRegisteredPrefix)
    21050    1.195    0.000    1.677    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:52(writeVarNumber)
     3818    0.167    0.000    1.665    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:221(readNonNegativeIntegerTlv)
